research PoolCreate (n=1)	33868323	20844	-	0	33868323	33868323	33868323	33868323	20844	20844	20844	20844	5084400	5084400	5084400	5084400	5084400
research PoolCreate (n=10)	34082830	19848	-	0	34036841	34205130	33796282	34206298	19736	19742	19728	20844	4984860	4973600	4974200	4972800	5084400
research PoolCreate (n=100)	34628084	19867	-	0	34531707	34786131	33796282	34933415	19874	19880	19728	20844	4986714	4987400	4988000	4972800	5084400
research PoolCreate (n=1000)	35168361	19996	-	0	35077254	35338789	33796282	35396710	20015	20022	19728	20844	4999604	5001500	5002200	4972800	5084400

research PositionMint (n=1)	57648092	41093	-	0	57648092	57648092	57648092	57648092	41093	41093	41093	41093	7109300	7109300	7109300	7109300	7109300
research PositionMint (n=10)	57984894	15835	-	0	57648092	58138167	57292016	58652611	13024	13044	12987	41093	4583590	4302400	4304400	4298700	7109300
research PositionMint (n=100)	59428984	13371	-	0	59253791	59785814	57292016	60210028	13039	13120	12987	41093	4337183	4303900	4312000	4298700	7109300
research PositionMint (n=1000)	60946632	13207	-	0	60595365	61398454	57292016	61913389	13149	13212	11148	41093	4320780	4314900	4321200	4114800	7109300

research PositionIncreaseLiquidity (n=1)	57290948	0	-	0	57290948	57290948	57290948	57290948	0	0	0	0	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=10)	57457673	0	-	0	57290948	57706873	57290659	57708326	0	0	0	0	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=100)	57458099	0	-	0	57291823	57707567	57290184	57708514	0	0	0	0	-1	-1	-1	-1	-1
research PositionIncreaseLiquidity (n=1000)	57458691	-2	-	0	57292648	57708862	57290184	57767676	0	0	-2067	2	-1	-1	-1	-1	-1

research PositionDecreaseLiquidity (n=1)	62983197	4367	-	0	62983197	62983197	62983197	62983197	4367	4367	4367	4367	3436700	3436700	3436700	3436700	3436700
research PositionDecreaseLiquidity (n=10)	62471244	436	-	0	62229232	62645446	62228835	62983197	0	0	0	4367	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=100)	62408692	43	-	0	62229232	62645627	62227780	62983197	0	0	0	4367	-1	-1	-1	-1	-1
research PositionDecreaseLiquidity (n=1000)	62412167	4	-	0	62229702	62645735	62226827	62983197	0	0	0	4367	-1	-1	-1	-1	-1

research Router.ExactIn.SingleHop.Pos1 (n=1)	70118257	2207	-	0	70118257	70118257	70118257	70118257	2207	2207	2207	2207	3220700	3220700	3220700	3220700	3220700
research Router.ExactIn.SingleHop.Pos1 (n=10)	71104232	452	-	0	70787340	71385822	70118257	71620441	0	38	0	2207	3045280	3000000	3003800	3000000	3220700
research Router.ExactIn.SingleHop.Pos1 (n=100)	71207314	46	-	0	70970424	71485581	70077996	71826450	0	0	0	2207	3004620	3000000	3000000	3000000	3220700
research Router.ExactIn.SingleHop.Pos1 (n=1000)	71236879	4	-	0	71067224	71481255	70068587	71826450	0	0	0	2207	3000472	3000000	3000000	3000000	3220700
research Router.ExactIn.SingleHop.Pos6 (n=1)	70518637	2265	-	0	70518637	70518637	70518637	70518637	2265	2265	2265	2265	3226500	3226500	3226500	3226500	3226500
research Router.ExactIn.SingleHop.Pos6 (n=10)	70964121	449	-	0	70374049	71667038	70368573	71676402	0	1	0	2265	3044980	3000000	3000100	3000000	3226500
research Router.ExactIn.SingleHop.Pos6 (n=100)	71080320	45	-	0	70518637	71681743	70368573	71710496	0	0	0	2265	3004590	3000000	3000000	3000000	3226500
research Router.ExactIn.SingleHop.Pos6 (n=1000)	71208142	4	-	0	71083254	71572702	70368573	71718746	0	0	0	2265	3000469	3000000	3000000	3000000	3226500
research Router.ExactIn.TwoHop (n=1)	100194708	13803	-	0	100194708	100194708	100194708	100194708	13803	13803	13803	13803	4380300	4380300	4380300	4380300	4380300
research Router.ExactIn.TwoHop (n=10)	100480866	1612	-	0	99639021	101469963	98347436	101773441	0	42	0	13803	3161250	3000000	3004200	3000000	4380300
research Router.ExactIn.TwoHop (n=100)	99284218	162	-	0	98843786	99448018	97695143	101773441	0	0	0	13803	3016228	3000000	3000000	3000000	4380300
research Router.ExactIn.TwoHop (n=1000)	98155178	16	-	0	96075232	99418526	93913183	102139357	0	0	0	13803	3001634	3000000	3000000	3000000	4380300

research Router.ExactOut.SingleHop.Pos1 (n=1)	69107877	2221	-	0	69107877	69107877	69107877	69107877	2221	2221	2221	2221	3222100	3222100	3222100	3222100	3222100
research Router.ExactOut.SingleHop.Pos1 (n=10)	68532041	452	-	0	67545860	69107877	67121027	69590322	0	38	0	2221	3045280	3000000	3003800	3000000	3222100
research Router.ExactOut.SingleHop.Pos1 (n=100)	68371159	46	-	0	67549587	69424423	67121027	69590322	0	0	0	2221	3004620	3000000	3000000	3000000	3222100
research Router.ExactOut.SingleHop.Pos1 (n=1000)	69170522	4	-	0	67622617	71498575	67121027	71951573	0	0	0	2221	3000472	3000000	3000000	3000000	3222100
research Router.ExactOut.SingleHop.Pos6 (n=1)	69193122	2265	-	0	69193122	69193122	69193122	69193122	2265	2265	2265	2265	3226500	3226500	3226500	3226500	3226500
research Router.ExactOut.SingleHop.Pos6 (n=10)	68887731	449	-	0	69193122	69411784	66475329	70016928	0	2	0	2265	-1	-1	-1	-1	-1
research Router.ExactOut.SingleHop.Pos6 (n=100)	68789166	45	-	0	69193122	69516926	66475329	70146057	0	0	0	2265	-1	-1	-1	-1	-1
research Router.ExactOut.SingleHop.Pos6 (n=1000)	68764810	4	-	0	69193122	69516926	66475329	70146057	0	0	0	2265	-1	-1	-1	-1	-1
research Router.ExactOut.TwoHop (n=1)	113588779	8049	-	0	113588779	113588779	113588779	113588779	8049	8049	8049	8049	3804900	3804900	3804900	3804900	3804900
research Router.ExactOut.TwoHop (n=10)	111280630	1037	-	0	109540883	112271192	109249296	113588779	0	42	0	8049	3103710	3000000	3004200	3000000	3804900
research Router.ExactOut.TwoHop (n=100)	110896180	104	-	0	109547199	112279343	109122701	113588779	0	0	0	8049	3010474	3000000	3000000	3000000	3804900
research Router.ExactOut.TwoHop (n=1000)	110873116	10	-	0	109556995	112287194	109122701	113588779	0	0	0	8049	3001058	3000000	3000000	3000000	3804900

research StakerCreateExternalIncentive (n=1)	42570743	9249	-	0	42570743	42570743	42570743	42570743	9249	9249	9249	9249	3924900	3924900	3924900	3924900	3924900
research StakerCreateExternalIncentive (n=10)	43195800	8024	-	0	42853573	43486865	42570743	43742121	6044	10187	6032	10211	3802410	3604400	4018700	3603200	4021100
research StakerCreateExternalIncentive (n=100)	44371361	8069	-	0	44130480	44728418	42570743	44905956	6086	10262	6032	10341	3806937	3608600	4026200	3603200	4034100

research StakerStakeToken (n=1)	130257733	242554	-	0	130257733	130257733	130257733	130257733	242554	242554	242554	242554	27255400	27255400	27255400	27255400	27255400
research StakerStakeToken (n=10)	126627207	227016	-	0	124471481	127713127	123294654	130257733	225271	225283	225264	242554	25701600	25527100	25528300	25526400	27255400
research StakerStakeToken (n=100)	128540394	226642	-	0	126720744	130281488	123294654	130513108	226594	226606	225264	242554	25664285	25659400	25660600	25526400	27255400
research StakerStakeToken (n=1000)	131280451	227688	-	0	129748867	132783234	123294654	132818106	227905	227912	225264	242554	25768830	25790500	25791200	25526400	27255400

research StakerCollectReward (n=1)	1340447378	427031	-	0	1340447378	1340447378	1340447378	1340447378	427031	427031	427031	427031	45703100	45703100	45703100	45703100	45703100
research StakerCollectReward (n=10)	1328754354	45222	-	0	1323975824	1329233486	1323836969	1340447378	855	5027	-419	427031	7522260	3085500	3502700	2958100	45703100
research StakerCollectReward (n=100)	1328529345	7187	-	0	1331934372	1336325809	773939190	1340447378	2941	2959	-419	427031	3718716	3294100	3295900	2958100	45703100
research StakerCollectReward (n=1000)	1337537520	3385	-	0	1336735377	1337067551	773939190	1419048740	2959	2961	-419	427031	3338585	3295900	3296100	2958100	45703100

research StakerUnStakeToken (n=1)	795990539	-214400	-	0	795990539	795990539	795990539	795990539	-214400	-214400	-214400	-214400	-18440000	-18440000	-18440000	-18440000	-18440000
research StakerUnStakeToken (n=10)	854934599	-214414	-	0	795996066	796007993	795793611	1385526075	-214416	-214416	-214416	-214400	-18441440	-18441600	-18441600	-18441600	-18440000
research StakerUnStakeToken (n=100)	870925815	-214495	-	0	808833050	808866763	102837021	1401780229	-214416	-214416	-222389	-214400	-18449573	-18441600	-18441600	-19238900	-18440000
research StakerUnStakeToken (n=1000)	761536844	-215609	-	0	808862262	817588698	102837021	1413294212	-214416	-214416	-222389	-212325	-18560922	-18441600	-18441600	-19238900	-18232500
